"Name","Rank","Number of Births"
"Jack","1","752"
"James","2","697"
"Daniel","3","617"
"Conor","4","558"
"Sean","5","530"
"Adam","6","449"
"Noah","7","438"
"Michael","8","434"
"Charlie","9","399"
"Luke","10","382"
"Thomas","11","379"
"Oisin","12","365"
"Alex","13","361"
"Cian","14","358"
"Harry","14","358"
"Patrick","16","350"
"Dylan","17","343"
"Ryan","18","329"
"Fionn","19","325"
"Liam","20","324"
"Darragh","21","302"
"Cillian","22","299"
"David","23","293"
"Jamie","24","286"
"Jake","25","285"
"Aaron","26","281"
"Matthew","27","279"
"John","28","266"
"Ben","29","265"
"Finn","30","260"
"Oliver","31","259"
"Nathan","32","231"
"Tadhg","33","230"
"Kyle","34","217"
"Evan","35","207"
"Rian","36","200"
"Tom","37","192"
"Sam","38","190"
"Mason","39","186"
"Ethan","40","181"
"Samuel","41","176"
"Joseph","42","174"
"Callum","43","173"
"Max","43","173"
"Oscar","45","170"
"Alexander","46","169"
"Eoin","47","162"
"Joshua","47","162"
"Jacob","49","159"
"Bobby","50","158"
"William","51","157"
"Aidan","52","154"
"Leo","53","148"
"Robert","54","147"
"Leon","54","147"
"Ronan","56","136"
"Senan","56","136"
"Benjamin","58","134"
"Logan","59","132"
"Andrew","60","131"
"Jayden","61","127"
"Alfie","62","124"
"Tommy","63","121"
"Ciaran","64","120"
"Mark","65","119"
"Cathal","66","118"
"Ollie","66","118"
"Danny","68","116"
"Odhran","69","113"
"Donnacha","70","112"
"Shane","71","109"
"Eoghan","71","109"
"Rory","73","108"
"Scott","74","107"
"Peter","75","103"
"Dara","76","102"
"Isaac","77","100"
"Shay","78","98"
"Billy","79","97"
"Tyler","80","90"
"Kai","80","90"
"Lucas","82","89"
"Anthony","83","88"
"Martin","83","88"
"Henry","83","88"
"Christopher","86","87"
"Kevin","87","86"
"Lorcan","87","86"
"Cormac","89","84"
"George","90","82"
"Hugo","91","80"
"Tomas","92","79"
"Josh","93","78"
"Daithi","93","78"
"Brian","95","76"
"Edward","95","76"
"Sebastian","97","74"
"Killian","98","73"
"Ruairi","98","73"
"Rhys","100","71"
"Daire","100","71"
"Luca","100","71"
"Zach","103","70"
"Niall","104","69"
"Riley","105","68"
"Louis","106","67"
"Filip","106","67"
"Gabriel","106","67"
"Alan","109","66"
"Hugh","110","65"
"Jakub","111","64"
"Kayden","112","63"
"Jason","113","62"
"Stephen","114","61"
"Charles","114","61"
"Oran","116","60"
"Blake","117","59"
"Theo","117","59"
"Muhammad","119","58"
"Ross","120","57"
"Cody","120","57"
"Eli","122","56"
"Arthur","123","55"
"Antoni","123","55"
"Nicholas","125","53"
"Elliot","125","53"
"Calvin","127","52"
"Eric","128","51"
"Paul","129","48"
"Diarmuid","130","47"
"Cameron","130","47"
"Caleb","130","47"
"Bradley","130","47"
"Oskar","130","47"
"Jackson","130","47"
"Kian","136","46"
"Corey","136","46"
"Joey","136","46"
"Harvey","136","46"
"Jonathan","140","45"
"Seamus","140","45"
"Conall","140","45"
"Jan","140","45"
"Archie","140","45"
"Jay","145","44"
"Tadgh","145","44"
"Freddie","147","43"
"Aiden","147","43"
"Dean","149","42"
"Colm","149","42"
"Padraig","149","42"
"Owen","149","42"
"Micheal","149","42"
"Joe","149","42"
"Zack","149","42"
"Harrison","149","42"
"Calum","157","41"
"Lewis","157","41"
"Brody","157","41"
"Paddy","160","40"
"Philip","161","39"
"Tiernan","161","39"
"Frankie","161","39"
"Lee","164","38"
"Christian","164","38"
"Theodore","164","38"
"Simon","167","37"
"Keelan","167","37"
"Casey","167","37"
"Iarlaith","167","37"
"Kacper","171","36"
"Reuben","171","36"
"Tristan","173","35"
"Adrian","173","35"
"Robbie","173","35"
"Milo","173","35"
"Darren","177","34"
"Caolan","177","34"
"Szymon","177","34"
"Richard","180","33"
"Connor","180","33"
"Denis","180","33"
"Timothy","180","33"
"Jordan","180","33"
"Dominik","180","33"
"Leighton","180","33"
"Jude","187","32"
"Flynn","187","32"
"Eanna","189","31"
"Gavin","190","30"
"Brandon","190","30"
"Carter","190","30"
"Cooper","190","30"
"Kieran","194","29"
"Reece","194","29"
"Daragh","194","29"
"Mateusz","194","29"
"Rowan","194","29"
"Iarla","194","29"
"Jaxon","194","29"
"Zachary","201","28"
"Donagh","201","28"
"Dominic","201","28"
"Austin","201","28"
"Levi","201","28"
"Marcus","206","27"
"Ruadhan","206","27"
"Conan","206","27"
"Franciszek","206","27"
"Tiarnan","210","26"
"Victor","210","26"
"Donncha","210","26"
"Francis","210","26"
"Will","210","26"
"Elliott","210","26"
"Ruben","210","26"
"Ted","210","26"
"Natan","210","26"
"Olly","210","26"
"Teddy","210","26"
"Hayden","221","25"
"Donal","221","25"
"Aodhan","221","25"
"Michal","221","25"
"Sonny","221","25"
"Aleksander","221","25"
"Paidi","221","25"
"Gerard","228","24"
"Brendan","228","24"
"Lukas","228","24"
"Frank","228","24"
"Nikodem","228","24"
"Elijah","228","24"
"Kaiden","228","24"
"Gearoid","235","23"
"Marcel","235","23"
"Maximilian","235","23"
"Rocco","235","23"
"Colin","239","22"
"Jesse","239","22"
"Lochlann","239","22"
"Caden","239","22"
"Cayden","239","22"
"Tymon","239","22"
"Morgan","245","21"
"Emmanuel","245","21"
"Johnny","245","21"
"Zac","245","21"
"Nicolas","245","21"
"Caelan","245","21"
"Julian","245","21"
"Harley","245","21"
"Mikolaj","253","20"
"Vincent","253","20"
"Jonah","253","20"
