"Name","Rank","Number of Births"
"Emily","1","626"
"Sophie","2","577"
"Emma","3","497"
"Grace","4","461"
"Lily","5","449"
"Mia","6","446"
"Ella","7","445"
"Ava","8","440"
"Lucy","9","439"
"Sarah","10","430"
"Aoife","11","426"
"Amelia","12","409"
"Hannah","13","368"
"Katie","14","353"
"Chloe","15","345"
"Caoimhe","16","334"
"Saoirse","17","317"
"Kate","18","316"
"Holly","19","312"
"Ruby","20","302"
"Sophia","21","299"
"Anna","22","296"
"Lauren","23","290"
"Leah","24","287"
"Amy","25","253"
"Isabelle","26","252"
"Molly","27","251"
"Ellie","28","250"
"Jessica","29","236"
"Olivia","30","230"
"Roisin","31","229"
"Ciara","32","227"
"Kayla","33","198"
"Julia","34","196"
"Zoe","34","196"
"Laura","36","191"
"Niamh","37","185"
"Abbie","38","178"
"Erin","39","177"
"Rachel","40","169"
"Robyn","41","166"
"Aisling","42","165"
"Faye","43","163"
"Rebecca","44","162"
"Eva","45","160"
"Layla","45","160"
"Ellen","47","155"
"Cara","48","148"
"Freya","49","144"
"Abigail","50","138"
"Isabella","50","138"
"Eve","50","138"
"Megan","53","135"
"Aine","54","128"
"Clodagh","54","128"
"Aoibhinn","56","125"
"Millie","57","120"
"Nicole","58","116"
"Aoibheann","59","115"
"Maja","60","114"
"Sadhbh","61","113"
"Eabha","62","109"
"Charlotte","63","106"
"Caitlin","64","105"
"Amber","64","105"
"Sofia","64","105"
"Alannah","67","104"
"Zara","68","102"
"Alice","69","101"
"Maria","70","100"
"Mary","71","99"
"Elizabeth","71","99"
"Lena","71","99"
"Emilia","74","98"
"Aimee","75","94"
"Lilly","75","94"
"Hollie","77","92"
"Aoibhe","78","88"
"Victoria","79","83"
"Eimear","80","81"
"Maya","80","81"
"Orla","82","80"
"Isabel","82","80"
"Evie","84","79"
"Kayleigh","85","78"
"Brooke","86","76"
"Clara","86","76"
"Meabh","88","75"
"Lexi","89","73"
"Tara","90","71"
"Katelyn","91","70"
"Daisy","91","70"
"Sara","93","68"
"Ailbhe","93","68"
"Natalia","93","68"
"Amelie","93","68"
"Ruth","97","66"
"Laoise","97","66"
"Hanna","97","66"
"Maeve","100","64"
"Madison","100","64"
"Rose","100","64"
"Maisie","100","64"
"Georgia","104","63"
"Alexandra","105","62"
"Taylor","105","62"
"Mollie","105","62"
"Orlaith","108","61"
"Michaela","108","61"
"Zuzanna","108","61"
"Shauna","111","60"
"Annie","112","58"
"Sienna","112","58"
"Lara","114","54"
"Doireann","114","54"
"Mya","114","54"
"Alicja","114","54"
"Alanna","118","52"
"Naomi","118","52"
"Heidi","118","52"
"Jasmine","121","50"
"Muireann","121","50"
"Nadia","121","50"
"Annabelle","121","50"
"Isobel","125","49"
"Catherine","126","48"
"Abbey","126","48"
"Eliza","126","48"
"Abby","129","47"
"Alison","129","47"
"Isla","129","47"
"Alisha","132","45"
"Jane","132","45"
"Lola","134","44"
"Summer","134","44"
"Sinead","136","43"
"Oliwia","136","43"
"Poppy","136","43"
"Hayley","139","42"
"Sadie","139","42"
"Evelyn","141","41"
"Shannon","142","40"
"Matilda","142","40"
"Zoey","142","40"
"Willow","142","40"
"Lucia","146","39"
"Nina","146","39"
"Paige","146","39"
"Lacey","146","39"
"Fiadh","146","39"
"Michelle","151","38"
"Gemma","151","38"
"Alicia","151","38"
"Siofra","151","38"
"Nikola","151","38"
"Zofia","151","38"
"Jennifer","157","37"
