"Name","Rank","Number.of.Births","Gender","Year"
"Jack",1,1068,"Boy","2009"
"Sean",2,934,"Boy","2009"
"Daniel",3,842,"Boy","2009"
"Conor",4,776,"Boy","2009"
"James",5,711,"Boy","2009"
"Ryan",6,641,"Boy","2009"
"Adam",7,618,"Boy","2009"
"Alex",8,503,"Boy","2009"
"Luke",9,501,"Boy","2009"
"Michael",10,499,"Boy","2009"
"Dylan",11,480,"Boy","2009"
"Cian",12,469,"Boy","2009"
"Jamie",13,466,"Boy","2009"
"Darragh",14,465,"Boy","2009"
"Liam",15,457,"Boy","2009"
"Aaron",16,444,"Boy","2009"
"Oisin",17,423,"Boy","2009"
"Thomas",18,411,"Boy","2009"
"Patrick",19,399,"Boy","2009"
"Eoin",20,368,"Boy","2009"
"John",21,346,"Boy","2009"
"Cillian",21,346,"Boy","2009"
"Matthew",23,343,"Boy","2009"
"Evan",24,333,"Boy","2009"
"David",25,326,"Boy","2009"
"Ben",26,324,"Boy","2009"
"Charlie",27,312,"Boy","2009"
"Harry",28,305,"Boy","2009"
"Callum",29,301,"Boy","2009"
"Shane",30,260,"Boy","2009"
"Joshua",30,260,"Boy","2009"
"Nathan",32,253,"Boy","2009"
"Mark",33,250,"Boy","2009"
"Fionn",34,249,"Boy","2009"
"Jake",35,248,"Boy","2009"
"Joseph",36,247,"Boy","2009"
"Samuel",37,238,"Boy","2009"
"Ronan",38,225,"Boy","2009"
"Eoghan",39,223,"Boy","2009"
"Kyle",40,216,"Boy","2009"
"Noah",41,211,"Boy","2009"
"Tadhg",42,206,"Boy","2009"
"Sam",43,204,"Boy","2009"
"Robert",44,203,"Boy","2009"
"Ethan",45,200,"Boy","2009"
"Aidan",46,197,"Boy","2009"
"Cathal",47,195,"Boy","2009"
"Finn",48,187,"Boy","2009"
"Jayden",49,182,"Boy","2009"
"Alexander",50,179,"Boy","2009"
"Kevin",51,175,"Boy","2009"
"Rory",52,172,"Boy","2009"
"Leon",52,172,"Boy","2009"
"Ciaran",54,170,"Boy","2009"
"William",55,166,"Boy","2009"
"Max",56,164,"Boy","2009"
"Jakub",57,160,"Boy","2009"
"Andrew",58,159,"Boy","2009"
"Cormac",58,159,"Boy","2009"
"Rian",60,151,"Boy","2009"
"Christopher",61,143,"Boy","2009"
"Oliver",62,141,"Boy","2009"
"Tom",63,139,"Boy","2009"
"Alan",64,138,"Boy","2009"
"Josh",65,133,"Boy","2009"
"Oscar",66,132,"Boy","2009"
"Peter",67,128,"Boy","2009"
"Benjamin",68,115,"Boy","2009"
"Brian",69,113,"Boy","2009"
"Niall",69,113,"Boy","2009"
"Scott",71,112,"Boy","2009"
"Jason",72,109,"Boy","2009"
"Killian",73,108,"Boy","2009"
"Martin",74,107,"Boy","2009"
"Rhys",74,107,"Boy","2009"
"Dara",76,106,"Boy","2009"
"Stephen",77,105,"Boy","2009"
"Paul",78,104,"Boy","2009"
"Lucas",79,103,"Boy","2009"
"Anthony",80,100,"Boy","2009"
"Tomas",81,99,"Boy","2009"
"Dean",82,98,"Boy","2009"
"Odhran",82,98,"Boy","2009"
"Ross",84,97,"Boy","2009"
"Senan",85,96,"Boy","2009"
"Bobby",85,96,"Boy","2009"
"Filip",87,95,"Boy","2009"
"Ruairi",88,93,"Boy","2009"
"Gavin",89,91,"Boy","2009"
"Lee",90,88,"Boy","2009"
"Oran",91,87,"Boy","2009"
"Calum",92,82,"Boy","2009"
"Hugh",92,82,"Boy","2009"
"Lorcan",92,82,"Boy","2009"
"Kian",95,79,"Boy","2009"
"Kacper",95,79,"Boy","2009"
"Christian",97,78,"Boy","2009"
"Shay",97,78,"Boy","2009"
"Charles",99,77,"Boy","2009"
"Daragh",99,77,"Boy","2009"
"Patryk",99,77,"Boy","2009"
"Szymon",99,77,"Boy","2009"
"Colm",103,76,"Boy","2009"
"Edward",104,75,"Boy","2009"
"Padraig",104,75,"Boy","2009"
"Cameron",104,75,"Boy","2009"
"Louis",107,72,"Boy","2009"
"Daire",108,70,"Boy","2009"
"Cody",108,70,"Boy","2009"
"Mateusz",108,70,"Boy","2009"
"Jacob",111,69,"Boy","2009"
"Leo",112,68,"Boy","2009"
"Alfie",112,68,"Boy","2009"
"Billy",114,67,"Boy","2009"
"Adrian",114,67,"Boy","2009"
"Donnacha",116,66,"Boy","2009"
"Jonathan",117,65,"Boy","2009"
